@RELATION artificialMelody


    @ATTRIBUTE ID NUMERIC
    @ATTRIBUTE pitch0 NUMERIC
    @ATTRIBUTE duration0 NUMERIC
    @ATTRIBUTE pitch1 NUMERIC
    @ATTRIBUTE duration1 NUMERIC
    @ATTRIBUTE pitch2 NUMERIC
    @ATTRIBUTE duration2 NUMERIC
    @ATTRIBUTE pitch3 NUMERIC
    @ATTRIBUTE duration3 NUMERIC
    @ATTRIBUTE pitch4 NUMERIC
    @ATTRIBUTE duration4 NUMERIC
    @ATTRIBUTE pitch5 NUMERIC
    @ATTRIBUTE duration5 NUMERIC
    @ATTRIBUTE pitch6 NUMERIC
    @ATTRIBUTE duration6 NUMERIC
    @ATTRIBUTE pitch7 NUMERIC
    @ATTRIBUTE duration7 NUMERIC
    @ATTRIBUTE pitch8 NUMERIC
    @ATTRIBUTE duration8 NUMERIC
    @ATTRIBUTE pitch9 NUMERIC
    @ATTRIBUTE duration9 NUMERIC
    @ATTRIBUTE pitch10 NUMERIC
    @ATTRIBUTE duration10 NUMERIC
    @ATTRIBUTE pitch11 NUMERIC
    @ATTRIBUTE duration11 NUMERIC
    @ATTRIBUTE pitch12 NUMERIC
    @ATTRIBUTE duration12 NUMERIC
    @ATTRIBUTE pitch13 NUMERIC
    @ATTRIBUTE duration13 NUMERIC
    @ATTRIBUTE pitch14 NUMERIC
    @ATTRIBUTE duration14 NUMERIC
    @ATTRIBUTE pitch15 NUMERIC
    @ATTRIBUTE duration15 NUMERIC
    @ATTRIBUTE pitch16 NUMERIC
    @ATTRIBUTE duration16 NUMERIC
    @ATTRIBUTE pitch17 NUMERIC
    @ATTRIBUTE duration17 NUMERIC
    @ATTRIBUTE pitch18 NUMERIC
    @ATTRIBUTE duration18 NUMERIC
    @ATTRIBUTE pitch19 NUMERIC
    @ATTRIBUTE duration19 NUMERIC
    @ATTRIBUTE pitch20 NUMERIC
    @ATTRIBUTE duration20 NUMERIC
    @ATTRIBUTE pitch21 NUMERIC
    @ATTRIBUTE duration21 NUMERIC
    @ATTRIBUTE pitch22 NUMERIC
    @ATTRIBUTE duration22 NUMERIC
    @ATTRIBUTE pitch23 NUMERIC
    @ATTRIBUTE duration23 NUMERIC
    @ATTRIBUTE pitch24 NUMERIC
    @ATTRIBUTE duration24 NUMERIC
    @ATTRIBUTE pitch25 NUMERIC
    @ATTRIBUTE duration25 NUMERIC
    @ATTRIBUTE pitch26 NUMERIC
    @ATTRIBUTE duration26 NUMERIC
    @ATTRIBUTE pitch27 NUMERIC
    @ATTRIBUTE duration27 NUMERIC
    @ATTRIBUTE pitch28 NUMERIC
    @ATTRIBUTE duration28 NUMERIC
    @ATTRIBUTE pitch29 NUMERIC
    @ATTRIBUTE duration29 NUMERIC
    @ATTRIBUTE pitch30 NUMERIC
    @ATTRIBUTE duration30 NUMERIC
    @ATTRIBUTE pitch31 NUMERIC
    @ATTRIBUTE duration31 NUMERIC
    @ATTRIBUTE pitch32 NUMERIC
    @ATTRIBUTE duration32 NUMERIC
    @ATTRIBUTE pitch33 NUMERIC
    @ATTRIBUTE duration33 NUMERIC
    @ATTRIBUTE pitch34 NUMERIC
    @ATTRIBUTE duration34 NUMERIC
    @ATTRIBUTE pitch35 NUMERIC
    @ATTRIBUTE duration35 NUMERIC
    @ATTRIBUTE pitch36 NUMERIC
    @ATTRIBUTE duration36 NUMERIC
    @ATTRIBUTE pitch37 NUMERIC
    @ATTRIBUTE duration37 NUMERIC
    @ATTRIBUTE pitch38 NUMERIC
    @ATTRIBUTE duration38 NUMERIC
    @ATTRIBUTE pitch39 NUMERIC
    @ATTRIBUTE duration39 NUMERIC
    @ATTRIBUTE pitch40 NUMERIC
    @ATTRIBUTE duration40 NUMERIC
    @ATTRIBUTE pitch41 NUMERIC
    @ATTRIBUTE duration41 NUMERIC
    @ATTRIBUTE pitch42 NUMERIC
    @ATTRIBUTE duration42 NUMERIC
    @ATTRIBUTE pitch43 NUMERIC
    @ATTRIBUTE duration43 NUMERIC
    @ATTRIBUTE pitch44 NUMERIC
    @ATTRIBUTE duration44 NUMERIC
    @ATTRIBUTE pitch45 NUMERIC
    @ATTRIBUTE duration45 NUMERIC
    @ATTRIBUTE pitch46 NUMERIC
    @ATTRIBUTE duration46 NUMERIC
    @ATTRIBUTE pitch47 NUMERIC
    @ATTRIBUTE duration47 NUMERIC
    @ATTRIBUTE pitch48 NUMERIC
    @ATTRIBUTE duration48 NUMERIC
    @ATTRIBUTE pitch49 NUMERIC
    @ATTRIBUTE duration49 NUMERIC
    @ATTRIBUTE score NUMERIC

@DATA
7073,7,480,9,480,2,480,1,480,12,480,1,480,7,480,1,480,7,480,9,480,2,480,1,480,12,480,1,480,7,480,7,480,9,480,1,480,7,480,9,480,2,480,1,480,12,480,1,480,7,480,1,480,7,480,2,480,7,480,2,480,7,480,2,480,7,480,2,480,8,480,3,480,8,480,3,480,8,480,3,480,8,480,3,480,7,480,9,480,2,480,1,480,12,480,1,480,7,480,1,480,0.75
963,5,600,5,600,12,600,12,600,12,600,12,600,12,600,12,600,12,600,12,600,12,600,12,600,12,600,12,600,12,600,12,600,1,600,12,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
2054,1,300,11,300,1,300,13,300,1,300,11,300,1,300,13,300,1,300,11,300,1,300,13,300,1,300,11,300,1,300,13,300,1,300,7,300,1,300,9,300,1,300,7,300,1,300,9,300,1,300,7,300,1,300,9,300,1,300,11,300,1,300,2,300,1,300,13,300,1,300,2,300,1,300,13,300,1,300,2,300,1,300,13,300,2,300,13,300,11,300,9,300,9,300,11,300,0,0,0,0,0.75
8696,11,600,11,600,11,600,11,600,2,600,2,600,11,600,2,600,4,600,2,600,11,600,11,600,11,600,11,600,2,600,2,600,11,600,2,600,4,600,2,600,11,600,2,600,4,600,4,600,7,600,7,600,9,600,1,600,2,600,11,600,1,600,11,600,2,600,11,600,1,600,11,600,2,600,2,600,11,600,11,600,11,600,4,600,4,600,7,600,7,600,9,600,1,600,2,600,11,600,0,0,0.5
5684,7,333,7,333,7,333,7,333,4,333,9,333,2,333,2,333,7,333,7,333,7,333,7,333,4,333,9,333,2,333,2,333,7,333,7,333,7,333,7,333,2,333,11,333,11,333,4,333,9,333,2,333,11,333,7,333,7,333,7,333,7,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
9133,4,480,1,480,3,480,1,480,13,480,1,480,13,480,3,480,1,480,3,480,1,480,13,480,1,480,13,480,1,480,4,480,1,480,3,480,13,480,1,480,13,480,1,480,13,480,1,480,13,480,1,480,3,480,13,480,1,480,13,480,8,480,3,480,13,480,13,480,8,480,3,480,13,480,11,480,8,480,1,480,11,480,8,480,1,480,13,480,8,480,3,480,13,480,13,480,8,480,3,480,0.0
10256,3,600,3,600,10,600,10,600,12,600,12,600,10,600,1,600,8,600,8,600,6,600,6,600,5,600,3,600,1,600,10,600,10,600,8,600,8,600,6,600,6,600,5,600,1,600,10,600,8,600,8,600,6,600,6,600,5,600,1,600,3,600,3,600,10,600,10,600,12,600,10,600,1,600,8,600,8,600,6,600,6,600,5,600,5,600,3,600,0,0,0,0,0,0,0,0,0,0,0,0,0.25
5635,9,428,11,428,9,428,7,428,4,428,2,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
4904,4,480,6,480,7,480,1,480,11,480,1,480,7,480,1,480,6,480,1,480,2,480,1,480,11,480,1,480,2,480,6,480,9,480,6,480,13,480,7,480,11,480,4,480,11,480,4,480,6,480,7,480,1,480,11,480,1,480,7,480,1,480,6,480,1,480,2,480,1,480,11,480,1,480,2,480,6,480,9,480,6,480,13,480,7,480,11,480,4,480,11,480,4,480,6,480,7,480,1,480,0.5
7762,11,428,11,428,11,428,11,428,11,428,9,428,11,428,13,428,11,428,9,428,7,428,7,428,11,428,11,428,11,428,9,428,11,428,13,428,11,428,9,428,7,428,7,428,9,428,7,428,7,428,6,428,7,428,6,428,4,428,4,428,6,428,7,428,11,428,9,428,11,428,13,428,11,428,9,428,7,428,7,428,9,428,7,428,7,428,6,428,7,428,6,428,6,428,0,0,0,0,0,0,0.25
3728,9,600,11,600,2,600,11,600,1,600,11,600,1,600,9,600,1,600,11,600,1,600,11,600,1,600,9,600,1,600,11,600,11,600,1,600,9,600,1,600,2,600,2,600,2,600,2,600,2,600,2,600,11,600,11,600,1,600,11,600,1,600,9,600,1,600,11,600,1,600,11,600,1,600,9,600,1,600,11,600,11,600,1,600,9,600,1,600,2,600,2,600,2,600,2,600,2,600,2,600,0.75
