@RELATION artificialMelody

    @ATTRIBUTE ID NUMERIC
    @ATTRIBUTE pitch0 NUMERIC
    @ATTRIBUTE duration0 NUMERIC
    @ATTRIBUTE pitch1 NUMERIC
    @ATTRIBUTE duration1 NUMERIC
    @ATTRIBUTE pitch2 NUMERIC
    @ATTRIBUTE duration2 NUMERIC
    @ATTRIBUTE pitch3 NUMERIC
    @ATTRIBUTE duration3 NUMERIC
    @ATTRIBUTE pitch4 NUMERIC
    @ATTRIBUTE duration4 NUMERIC
    @ATTRIBUTE pitch5 NUMERIC
    @ATTRIBUTE duration5 NUMERIC
    @ATTRIBUTE pitch6 NUMERIC
    @ATTRIBUTE duration6 NUMERIC
    @ATTRIBUTE pitch7 NUMERIC
    @ATTRIBUTE duration7 NUMERIC
    @ATTRIBUTE pitch8 NUMERIC
    @ATTRIBUTE duration8 NUMERIC
    @ATTRIBUTE pitch9 NUMERIC
    @ATTRIBUTE duration9 NUMERIC
    @ATTRIBUTE pitch10 NUMERIC
    @ATTRIBUTE duration10 NUMERIC
    @ATTRIBUTE pitch11 NUMERIC
    @ATTRIBUTE duration11 NUMERIC
    @ATTRIBUTE pitch12 NUMERIC
    @ATTRIBUTE duration12 NUMERIC
    @ATTRIBUTE pitch13 NUMERIC
    @ATTRIBUTE duration13 NUMERIC
    @ATTRIBUTE pitch14 NUMERIC
    @ATTRIBUTE duration14 NUMERIC
    @ATTRIBUTE pitch15 NUMERIC
    @ATTRIBUTE duration15 NUMERIC
    @ATTRIBUTE pitch16 NUMERIC
    @ATTRIBUTE duration16 NUMERIC
    @ATTRIBUTE pitch17 NUMERIC
    @ATTRIBUTE duration17 NUMERIC
    @ATTRIBUTE pitch18 NUMERIC
    @ATTRIBUTE duration18 NUMERIC
    @ATTRIBUTE pitch19 NUMERIC
    @ATTRIBUTE duration19 NUMERIC
    @ATTRIBUTE pitch20 NUMERIC
    @ATTRIBUTE duration20 NUMERIC
    @ATTRIBUTE pitch21 NUMERIC
    @ATTRIBUTE duration21 NUMERIC
    @ATTRIBUTE pitch22 NUMERIC
    @ATTRIBUTE duration22 NUMERIC
    @ATTRIBUTE pitch23 NUMERIC
    @ATTRIBUTE duration23 NUMERIC
    @ATTRIBUTE pitch24 NUMERIC
    @ATTRIBUTE duration24 NUMERIC
    @ATTRIBUTE pitch25 NUMERIC
    @ATTRIBUTE duration25 NUMERIC
    @ATTRIBUTE pitch26 NUMERIC
    @ATTRIBUTE duration26 NUMERIC
    @ATTRIBUTE pitch27 NUMERIC
    @ATTRIBUTE duration27 NUMERIC
    @ATTRIBUTE pitch28 NUMERIC
    @ATTRIBUTE duration28 NUMERIC
    @ATTRIBUTE pitch29 NUMERIC
    @ATTRIBUTE duration29 NUMERIC
    @ATTRIBUTE pitch30 NUMERIC
    @ATTRIBUTE duration30 NUMERIC
    @ATTRIBUTE pitch31 NUMERIC
    @ATTRIBUTE duration31 NUMERIC
    @ATTRIBUTE pitch32 NUMERIC
    @ATTRIBUTE duration32 NUMERIC
    @ATTRIBUTE pitch33 NUMERIC
    @ATTRIBUTE duration33 NUMERIC
    @ATTRIBUTE pitch34 NUMERIC
    @ATTRIBUTE duration34 NUMERIC
    @ATTRIBUTE pitch35 NUMERIC
    @ATTRIBUTE duration35 NUMERIC
    @ATTRIBUTE pitch36 NUMERIC
    @ATTRIBUTE duration36 NUMERIC
    @ATTRIBUTE pitch37 NUMERIC
    @ATTRIBUTE duration37 NUMERIC
    @ATTRIBUTE pitch38 NUMERIC
    @ATTRIBUTE duration38 NUMERIC
    @ATTRIBUTE pitch39 NUMERIC
    @ATTRIBUTE duration39 NUMERIC
    @ATTRIBUTE pitch40 NUMERIC
    @ATTRIBUTE duration40 NUMERIC
    @ATTRIBUTE pitch41 NUMERIC
    @ATTRIBUTE duration41 NUMERIC
    @ATTRIBUTE pitch42 NUMERIC
    @ATTRIBUTE duration42 NUMERIC
    @ATTRIBUTE pitch43 NUMERIC
    @ATTRIBUTE duration43 NUMERIC
    @ATTRIBUTE pitch44 NUMERIC
    @ATTRIBUTE duration44 NUMERIC
    @ATTRIBUTE pitch45 NUMERIC
    @ATTRIBUTE duration45 NUMERIC
    @ATTRIBUTE pitch46 NUMERIC
    @ATTRIBUTE duration46 NUMERIC
    @ATTRIBUTE pitch47 NUMERIC
    @ATTRIBUTE duration47 NUMERIC
    @ATTRIBUTE pitch48 NUMERIC
    @ATTRIBUTE duration48 NUMERIC
    @ATTRIBUTE pitch49 NUMERIC
    @ATTRIBUTE duration49 NUMERIC
    @ATTRIBUTE score NUMERIC

@DATA
3,41,600,28,300,36,900,41,300,28,300,26,900,25,150,41,300,41,150,41,300,41,300,28,300,26,300,36,150,36,300,26,300,25,150,41,300,28,300,36,600,41,300,28,300,26,300,36,150,33,150,36,300,26,600,25,150,36,600,41,450,41,450,41,450,28,450,26,450,36,300,36,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
4,9,75,10,75,9,75,7,75,5,75,7,75,5,75,0,200,14,75,13,75,5,75,13,75,0,200,5,75,0,200,14,75,25,75,14,75,25,75,23,75,21,75,13,75,23,75,25,75,14,150,25,75,14,75,0,200,14,75,0,200,5,150,0,200,5,75,7,150,5,75,7,75,9,300,13,25,9,300,13,300,13,300,5,75,0,200,5,75,7,75,9,150,5,150,0,200,14,150,5,75,0.25
5,27,300,37,300,33,300,42,150,30,300,37,150,13,150,33,150,37,150,37,150,33,150,37,300,13,150,37,300,13,150,37,300,37,150,33,150,42,150,30,300,37,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
6,31,267,31,267,16,267,31,267,33,267,31,267,16,535,16,267,14,802,16,267,14,802,31,267,31,267,16,267,31,267,33,267,31,267,16,535,16,267,14,267,16,267,14,267,24,1070,24,535,16,267,31,267,36,1070,33,535,36,267,33,267,31,267,25,535,31,267,31,267,16,267,31,267,33,267,31,267,16,535,14,267,16,267,29,133,16,267,14,267,24,1070,0,0,0,0,0,0,0,0,0,0,0.75
7,22,535,13,267,25,267,15,267,29,267,15,267,25,267,22,535,13,267,25,267,15,267,29,267,15,267,25,267,22,535,13,267,25,267,15,267,29,267,15,267,25,267,22,267,22,267,22,267,22,267,23,535,25,535,22,535,13,267,25,267,15,267,29,267,15,267,25,267,22,535,13,267,25,267,15,267,29,267,15,267,25,267,22,535,13,267,25,267,15,267,29,267,15,267,25,267,22,267,22,267,0.5
8,35,280,28,280,27,187,28,375,13,187,32,187,37,1500,35,280,28,187,13,93,27,187,28,562,42,187,28,1125,13,375,35,187,13,93,28,139,13,93,13,46,27,93,13,93,28,562,32,187,37,1125,13,375,37,187,13,93,35,139,13,93,13,46,32,93,13,93,13,187,30,1500,13,375,13,187,35,280,28,280,27,187,28,375,13,187,32,187,37,1500,35,280,13,187,0,0,0,0,0,0,0,0,0.25
9,34,240,34,240,29,240,31,240,14,240,17,480,19,480,24,480,24,480,24,240,19,240,24,240,14,240,16,240,29,240,31,480,34,240,36,240,36,480,16,240,16,240,16,240,31,480,34,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
10,36,214,34,214,36,214,31,214,14,214,31,214,24,428,36,214,34,214,36,214,31,214,14,214,31,214,24,428,36,214,26,214,26,214,36,107,26,214,36,107,26,214,26,214,34,107,26,214,34,107,26,214,36,214,34,214,31,214,34,214,36,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
11,30,166,30,166,30,166,30,166,25,333,25,166,14,166,13,333,13,166,25,166,14,333,16,333,25,166,25,166,25,166,25,166,25,166,25,166,25,166,14,333,13,333,13,166,25,166,25,166,25,166,30,166,30,166,30,166,30,166,25,166,25,166,25,166,14,166,13,333,13,166,25,166,14,333,16,333,25,333,25,166,25,166,25,166,25,166,25,333,25,333,23,333,21,333,20,333,18,666,0,0,0.5
12,14,133,13,133,33,267,13,133,33,133,13,267,34,535,33,535,17,133,13,133,32,267,13,133,32,133,13,267,34,535,32,535,22,267,29,267,13,133,29,133,13,267,31,133,32,267,29,535,13,133,22,133,13,133,29,267,13,133,29,133,13,267,31,133,32,267,29,400,13,267,14,133,13,133,33,267,13,133,33,133,13,267,34,535,33,535,17,133,13,133,32,267,13,133,32,133,13,267,34,535,0.5
13,29,214,29,214,29,214,36,214,29,107,29,107,29,428,29,107,29,214,31,214,31,321,31,214,29,107,29,107,29,214,36,214,29,107,29,107,36,107,29,428,29,107,29,214,36,321,31,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
